Location,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,School Closures,Bar/Restaurant Limits,Primary Election Postponement,Emergency Declaration,Footnotes,Stay at Home Order
United States,-,All Non-Essential Businesses (21); All Non-Essential Retail Businesses (3); Other (2); No Action (25),All Gatherings Prohibited (12); >10 Prohibited (24); 25+ Prohibited (1); 50+ Prohibited (4); Other (2); No action (8),Yes (46); Effectively Closed (1); Other (1); No (3),Closed except for takeout/delivery (43); Limited on-site service (4); Other (1); No action (5),Yes (11); No (40),Yes (51); No (0),,-
Alabama,-,-,25+ People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,-
Alaska,-,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,1,-
Arizona,-,-,-,Yes,Closed except for takeout/delivery,-,Yes,,-
Arkansas,-,-,-,Yes,Closed except for takeout/delivery,-,Yes,,-
California,-,All Non-Essential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,-,Yes,2,-
Colorado,-,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,3,-
Connecticut,-,All Non-Essential Businesses,50+ People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,-
Delaware,-,All Non-Essential Businesses,50+ People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,-
District of Columbia,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Florida,-,-,-,Yes,Closed except for takeout/delivery,-,Yes,,-
Georgia,-,-,-,Yes,Limited On-site Service,Yes,Yes,,-
Hawaii,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Idaho,-,-,-,-,-,-,Yes,,-
Illinois,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Indiana,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,-
Iowa,-,-,>10 People Prohibited,-,Closed except for takeout/delivery,-,Yes,,-
Kansas,-,-,>10 People Prohibited,Yes,Limited On-site Service,-,Yes,,-
Kentucky,-,All Non-Essential Retail Businesses,Other,Yes,Closed except for takeout/delivery,Yes,Yes,4,-
Louisiana,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,-
Maine,-,All Non-Essential Businesses,>10 People Prohibited,-,Closed except for takeout/delivery,-,Yes,,-
Maryland,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,-
Massachusetts,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Michigan,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Minnesota,-,-,-,Yes,Closed except for takeout/delivery,-,Yes,,-
Mississippi,-,-,>10 People Prohibited,Yes,Limited On-site Service,Yes,Yes,,-
Missouri,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Montana,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Nebraska,-,-,Other,Other,Other,-,Yes,5,-
Nevada,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,4,-
New Hampshire,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
New Jersey,-,All Non-Essential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
New Mexico,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Limited On-site Service,-,Yes,4,-
New York,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
North Carolina,-,-,50+ People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,4,-
North Dakota,-,-,-,Yes,Closed except for takeout/delivery,-,Yes,,-
Ohio,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,-
Oklahoma,-,All Non-Essential Businesses,>10 People Prohibited,Yes,-,-,Yes,,-
Oregon,-,All Non-Essential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Pennsylvania,-,All Non-Essential Businesses,-,Yes,Closed except for takeout/delivery,-,Yes,,-
Rhode Island,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,-
South Carolina,-,-,50+ People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
South Dakota,-,-,>10 People Prohibited,Yes,-,-,Yes,,-
Tennessee,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Texas,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Utah,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Vermont,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,6,-
Virginia,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Washington,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
West Virginia,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Wisconsin,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
Wyoming,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,-
